id,uri,body,term,timestamp_ms,timestamp_s,timestamp
101152002,https://api.soundcloud.com/tracks/101152002,@joepeach: You speak such truth!!!!!!! Dirtyness to a great beat :D,beat,3449203,3449.203,57:29
59245777,https://api.soundcloud.com/tracks/59245777,very funky and cool groove,groove,329686,329.686,05:30
59245777,https://api.soundcloud.com/tracks/59245777,"Nice sounds. Good percussion, bassline, builds and drops and flows really nicely. Good work.",builds,204837,204.837,03:25
59245777,https://api.soundcloud.com/tracks/59245777,"Nice sounds. Good percussion, bassline, builds and drops and flows really nicely. Good work.",drops,204837,204.837,03:25
99698347,https://api.soundcloud.com/tracks/99698347,"fuck'n track!!!! essential of acid, kick, acid line and vocal sample ;)",vocal,689425,689.425,11:29
84731701,https://api.soundcloud.com/tracks/84731701,Uffff sick and phat bassline,bassline,31461,31.461,00:31
84731701,https://api.soundcloud.com/tracks/84731701,"very nice groove here, I really dig the rhythmic feel to the percussion here and the vocal sample you used is tight",groove,142522,142.522,02:23
84731701,https://api.soundcloud.com/tracks/84731701,"very nice groove here, I really dig the rhythmic feel to the percussion here and the vocal sample you used is tight",vocal,142522,142.522,02:23
84731701,https://api.soundcloud.com/tracks/84731701,Nice song structure. Catchy melodies and drum work for sure.,drum,106766,106.766,01:47
84731701,https://api.soundcloud.com/tracks/84731701,I love the fast house beat great sounding production.,beat,9065,9.065,00:09
84731701,https://api.soundcloud.com/tracks/84731701,"nice steady beat production, The bass kick is full and deep.  Nice percussion sounds to breakup the tempo.",bass,389293,389.293,06:29
84731701,https://api.soundcloud.com/tracks/84731701,"nice steady beat production, The bass kick is full and deep.  Nice percussion sounds to breakup the tempo.",beat,389293,389.293,06:29
84731701,https://api.soundcloud.com/tracks/84731701,not really a fan of techno but you got some good stuff here! love the drums and synths ,drums,182308,182.308,03:02
84731701,https://api.soundcloud.com/tracks/84731701,not really a fan of techno but you got some good stuff here! love the drums and synths ,synths,182308,182.308,03:02
84731701,https://api.soundcloud.com/tracks/84731701,"sounds sweet man!! drums are a little long.. could use some action if you know what i mean, but its a good start thats forsure! i like the glitchy parts, those are sweet. the dorp is mint to man, such a good job",drums,167703,167.703,02:48
84731701,https://api.soundcloud.com/tracks/84731701,dude im digging the whole snare clap drum combinations you have rolling throughout this segment..good vibes!,drum,135472,135.472,02:15
84731701,https://api.soundcloud.com/tracks/84731701,"Nicely composed track, I like the techno/house vibe to this track and the vocals help add to the funkiness of the track ",vocals,251807,251.807,04:12
84731701,https://api.soundcloud.com/tracks/84731701,"off the bat, i already like the bass line! it balances greatly with the sub kick",bass,56908,56.908,00:57
84731701,https://api.soundcloud.com/tracks/84731701,Nice minimal sound! I hear some tech house influence too. Great low bass and good scattering hats. Great overall mix!,bass,296125,296.125,04:56
84731701,https://api.soundcloud.com/tracks/84731701,"digging the synths man, keep up the great productions work youll go far",synths,370156,370.156,06:10
84731701,https://api.soundcloud.com/tracks/84731701,old school style nice. good mix on the beat,beat,72772,72.772,01:13
84731701,https://api.soundcloud.com/tracks/84731701,I like this minimalistic drop mate ! The melody chords work well together :),drop,288067,288.067,04:48
84731701,https://api.soundcloud.com/tracks/84731701,"me gusta la percusion, bassline etc, igual prueva a no dejar tan bacia esta parte, suerte",bassline,202956,202.956,03:23
84731701,https://api.soundcloud.com/tracks/84731701,little percussion double hit before the drop is nice. sounds like a wel produced track!!,drop,29209,29.209,00:29
84731701,https://api.soundcloud.com/tracks/84731701,i like this roomfilling delay...nothing there but even a lot. in a liveset the kickstart could even be placed between the beats...and it would pump ;-) no uplifters needed - good job.,beats,200942,200.942,03:21
84731701,https://api.soundcloud.com/tracks/84731701,i really like that rising. maybe a sub - bass re- eq ? ,bass,299146,299.146,04:59
84731701,https://api.soundcloud.com/tracks/84731701,drums need more punch bit repetitious but i like the buildups and overall feel,buildups,331378,331.378,05:31
84731701,https://api.soundcloud.com/tracks/84731701,drums need more punch bit repetitious but i like the buildups and overall feel,drums,331378,331.378,05:31
84731701,https://api.soundcloud.com/tracks/84731701,nice tech-house synth. like it. do more stuff like this :),synth,162667,162.667,02:43
110060536,https://api.soundcloud.com/tracks/110060536,Nice build,build,89655,89.655,01:30
86613376,https://api.soundcloud.com/tracks/86613376,wicked synth,synth,40263,40.263,00:40
84730114,https://api.soundcloud.com/tracks/84730114,Sick techno beat dude. great mix on the kick. it really punches you in the face. keep these coming man.,beat,62940,62.94,01:03
84730114,https://api.soundcloud.com/tracks/84730114,"Nice stuff, hits nicely and I am digging all of those random vocal clips.",vocal,134662,134.662,02:15
84730114,https://api.soundcloud.com/tracks/84730114,the drums on here is very nice wanted more out the intro but none the less still hot ,drums,18540,18.54,00:19
84730114,https://api.soundcloud.com/tracks/84730114,"great track man, the drums made the beat 10x better and the talking at the end left some suspense",beat,111242,111.242,01:51
